Cod. Disciplina,Nome Disciplina,Curso,CH,Horarios
FACOM31701,Trabalho de Conclusão de Curso 1,Sistemas de Informação,2,Sexta-feira 19h:00
FACOM39017,Algoritmos e Programação de Computadores,Engenharia Química,4,"Segunda-feira 09h:50, Segunda-feira 10h:40, Quinta-feira 08h:50, Quinta-feira 09h:50"
FACOM39018,Introdução à Computação,Física Médica,4,"Terça-feira 10h:40, Terça-feira 11h:30, Sexta-feira 10h:40, Sexta-feira 11h:30"
FACOM39020,Algoritmos e Programação,Matemática,6,"Terça-feira 10h:40, Terça-feira 11h:30, Quarta-feira 10h:40, Quarta-feira 11h:30, Sexta-feira 10h:40, Sexta-feira 11h:30"
FACOM39101,Lógica de Programação,Gestão da Informação,4,"Segunda-feira 10h:40, Segunda-feira 11h:30, Terça-feira 10h:40, Terça-feira 11h:30"
FACOM39201,Programação de Computadores,Gestão da Informação,4,"Segunda-feira 10h:40, Segunda-feira 11h:30, Terça-feira 10h:40, Terça-feira 11h:30"
FACOM39301,Algoritmos e Programação de Computadores,Engenharia Ambiental e Sanitária,4,"Quinta-feira 08h:00, Quinta-feira 08h:50, Quinta-feira 09h:50, Quinta-feira 10h:40"
FACOM39302,Estruturas de Dados I,Gestão da Informação,4,"Segunda-feira 10h:40, Segunda-feira 11h:30, Terça-feira 10h:40, Terça-feira 11h:30"
FACOM39401,Estruturas de Dados II,Gestão da Informação,4,"Terça-feira 14h:50, Terça-feira 16h:00, Quinta-feira 14h:50, Quinta-feira 16h:00"
FACOM39501,Engenharia de Software I,Gestão da Informação,4,"Terça-feira 08h:00, Terça-feira 08h:50, Sexta-feira 09h:50, Sexta-feira 10h:40"
FACOM39502,Programação Orientada a Objetos,Gestão da Informação,4,"Segunda-feira 10h:40, Segunda-feira 11h:30, Terça-feira 10h:40, Terça-feira 11h:30"
FACOM39601,Engenharia de Software II,Gestão da Informação,4,"Quinta-feira 14h:00, Quinta-feira 14h:50, Sexta-feira 14h:00, Sexta-feira 14h:50"
FACOM39602,Bancos de Dados,Gestão da Informação,4,"Segunda-feira 14h:50, Segunda-feira 16h:00, Quarta-feira 14h:50, Quarta-feira 16h:00"
FACOM39702,Inteligência Artificial,Gestão da Informação,4,"Segunda-feira 20h:50, Segunda-feira 21h:40, Quinta-feira 20h:50, Quinta-feira 21h:40"
FACOM39801,Sistemas de Bancos de Dados,Gestão da Informação,4,"Segunda-feira 20h:50, Segunda-feira 21h:40, Terça-feira 19h:00, Terça-feira 19h:50"
FACOM39802,Programação para Internet,Gestão da Informação,4,"Segunda-feira 19h:00, Segunda-feira 19h:50, Terça-feira 20h:50, Terça-feira 21h:40"
FACOM39803,Mineração de Dados,Gestão da Informação,4,"Segunda-feira 20h:50, Segunda-feira 21h:40, Terça-feira 20h:50, Terça-feira 21h:40"
FACOM49010(U),Algoritmos e Programação de Computadores,Engenharia Mecânica,4,"Quarta-feira 14h:50, Quarta-feira 16h:00, Sexta-feira 09h:50, Sexta-feira 10h:40, Sexta-feira 11h:30"
